Restaurant_ID,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability
RES000000,7.28,0.33,0.34,28,23,1.66,0.23,0.02,False
RES000001,9.77,0.31,1.88,15,24,1.6,7.65,0.04,True
RES000004,10.0,1.13,1.83,58,65,1.05,15.15,0.047,False
RES000005,3.09,4.74,0.87,15,16,1.67,12.6,0.039,False
RES000006,2.56,1.85,1.79,37,46,2.5,5.89,0.065,True
RES000007,7.49,0.79,1.98,23,33,2.35,3.66,0.042,False
RES000008,5.58,1.38,1.89,70,70,1.56,11.73,0.076,False
RES000009,1.53,3.26,0.69,28,38,1.2,23.6,0.02,True
RES000011,9.28,1.82,0.7,47,43,1.86,20.0,0.081,False
RES000013,5.25,0.49,1.26,61,67,2.23,0.01,0.086,False
RES000016,2.5,4.48,0.83,84,82,2.0,18.89,0.083,False
RES000017,4.79,0.74,0.72,61,69,2.47,23.92,0.076,False
RES000018,4.17,1.83,1.51,66,74,1.73,19.27,0.091,False
RES000019,1.28,4.96,0.76,18,14,1.9,21.61,0.023,True
RES000020,9.53,2.12,0.98,82,91,1.28,11.95,0.038,True
RES000021,0.06,1.25,0.04,30,25,1.35,21.21,0.096,True
RES000025,6.11,2.56,1.33,19,23,1.25,23.13,0.025,True
RES000026,3.14,2.15,1.86,67,73,2.07,3.26,0.072,False
RES000027,4.58,3.45,0.93,90,100,1.27,24.92,0.045,True
RES000028,5.74,1.68,0.56,30,25,1.49,14.02,0.036,False
RES000029,8.02,2.87,1.65,76,86,1.26,5.89,0.082,False
RES000030,5.82,3.29,0.62,17,24,1.88,14.72,0.017,True
RES000032,6.46,1.61,1.49,58,62,2.34,18.2,0.05,False
RES000033,6.97,3.91,1.53,81,80,1.65,7.26,0.009,False
RES000034,7.3,2.61,0.1,27,22,2.34,23.75,0.015,True
RES000036,8.57,0.34,1.18,73,70,1.77,5.19,0.009,True
RES000037,0.87,0.07,0.43,69,68,1.64,17.28,0.067,False
RES000041,1.1,3.55,0.39,15,24,1.74,13.38,0.036,False
RES000042,2.41,2.96,0.24,74,83,1.18,19.72,0.094,True
RES000043,2.37,3.44,0.48,50,46,1.63,18.58,0.063,False
RES000044,9.1,4.25,1.55,45,43,1.17,0.36,0.076,False
RES000045,0.39,2.82,1.31,27,24,2.06,18.87,0.051,False
RES000046,3.07,3.19,1.77,68,76,2.25,22.92,0.052,True
RES000047,6.73,4.97,0.17,62,62,2.36,14.04,0.1,True
RES000048,9.72,0.0,0.27,36,42,1.06,11.98,0.07,False
RES000049,2.61,1.67,0.47,86,84,1.28,11.29,0.053,False
RES000050,9.19,2.87,0.05,84,92,1.06,9.53,0.09,False
RES000052,8.4,3.9,0.04,42,45,2.23,4.11,0.043,False
RES000053,6.77,1.33,1.07,84,86,1.55,11.05,0.061,False
RES000054,9.8,2.87,1.93,85,80,1.03,24.07,0.018,True
RES000055,5.78,4.71,0.17,68,73,2.29,19.74,0.078,True
RES000056,8.98,0.9,1.96,67,72,2.17,17.93,0.094,True
RES000058,6.47,3.25,0.81,70,78,2.42,19.4,0.079,False
RES000059,5.0,1.29,0.59,20,27,1.4,22.09,0.002,True
RES000060,7.69,1.19,0.85,20,26,1.74,0.29,0.025,False
RES000061,2.3,0.81,1.0,63,66,2.41,15.86,0.038,False
RES000062,7.16,0.09,0.74,85,95,1.68,11.4,0.063,False
RES000064,8.22,0.86,1.9,19,24,1.99,6.52,0.081,False
RES000065,0.03,4.42,0.09,73,83,2.02,23.0,0.065,True
RES000067,8.76,2.19,1.85,28,26,2.13,0.12,0.015,True
RES000068,4.4,1.23,0.85,61,71,2.13,24.47,0.037,True
RES000069,7.97,3.98,1.6,57,67,2.27,2.65,0.077,True
RES000071,6.29,3.52,0.52,37,41,2.43,9.85,0.034,False
RES000073,7.46,2.19,0.4,67,69,1.58,19.07,0.088,True
RES000074,3.85,0.47,1.86,46,44,1.97,17.82,0.013,False
RES000076,8.2,2.89,0.98,32,37,1.29,1.57,0.056,True
RES000078,4.45,1.59,0.08,28,31,1.94,9.63,0.047,True
RES000080,8.43,4.62,1.34,25,20,2.23,8.69,0.073,False
RES000081,8.2,1.44,0.94,43,51,1.83,2.36,0.074,True
RES000082,9.14,3.21,1.21,48,57,1.26,22.35,0.083,True
RES000083,5.1,2.84,0.04,86,95,2.18,12.45,0.011,False
RES000084,2.7,2.77,1.79,43,49,1.97,5.96,0.011,False
RES000089,6.14,2.41,0.55,15,22,1.04,13.85,0.047,True
RES000090,3.58,1.89,1.95,67,66,2.33,6.22,0.094,False
RES000091,8.2,0.65,1.09,84,80,2.07,13.61,0.073,False
RES000093,5.63,1.32,1.86,18,16,1.73,12.66,0.052,True
RES000094,5.18,2.2,0.15,77,74,1.32,22.3,0.095,False
RES000096,4.68,1.69,0.56,50,59,1.31,13.48,0.021,True
RES000098,2.82,4.95,1.29,57,60,1.5,0.51,0.022,False
RES000099,0.01,2.96,0.84,49,55,2.33,5.25,0.088,False
RES000100,8.36,0.21,1.03,88,94,1.83,23.78,0.078,True
RES000101,0.19,1.54,0.16,48,57,1.83,2.99,0.057,True
RES000102,8.37,3.64,1.63,46,45,2.39,2.23,0.039,True
RES000103,2.18,0.98,0.74,80,90,2.08,20.1,0.026,False
RES000105,9.85,3.49,1.92,23,23,2.32,20.66,0.07,True
