Menu_ID,Timestamp,Current_price,Previous_price,Price_change
MENRES000000_0,2023-02-09T00:47:11,13.75,11.51,2.24
MENRES000001_5,2023-06-23T21:23:42,20.83,18.54,2.29
MENRES000001_7,2023-01-09T10:48:45,109.45,100.52,8.93
MENRES000001_10,2023-08-04T02:20:04,23.65,21.48,2.17
MENRES000001_11,2023-11-02T22:34:08,115.56,101.56,14.0
MENRES000001_12,2023-04-22T11:06:29,77.39,68.53,8.86
MENRES000001_13,2023-12-24T16:27:08,44.87,40.95,3.92
MENRES000002_0,2023-02-19T13:47:47,40.69,34.32,6.37
MENRES000002_2,2023-06-27T17:22:21,37.6,33.34,4.26
MENRES000002_6,2023-12-18T12:34:55,76.0,70.39,5.61
MENRES000003_1,2023-07-30T12:15:47,110.14,91.35,18.79
MENRES000003_8,2023-06-30T14:44:42,116.43,102.9,13.53
MENRES000003_9,2023-01-05T05:53:08,99.19,90.54,8.65
MENRES000003_10,2023-09-29T23:37:29,136.36,113.11,23.25
MENRES000004_0,2023-12-07T08:27:11,12.09,10.72,1.37
MENRES000004_1,2023-04-20T11:02:18,13.39,11.54,1.85
MENRES000004_5,2023-02-22T13:39:47,27.19,22.06,5.13
MENRES000005_10,2023-10-04T18:50:41,43.29,39.9,3.39
MENRES000005_11,2023-07-02T13:51:20,42.23,37.67,4.56
MENRES000005_12,2023-02-07T05:11:40,38.21,32.06,6.15
MENRES000005_13,2023-03-23T16:14:52,44.52,41.76,2.76
MENRES000006_1,2023-11-01T16:54:48,119.99,108.39,11.6
MENRES000006_5,2023-10-31T04:14:39,141.08,127.77,13.31
MENRES000006_6,2023-03-14T13:02:08,126.1,118.68,7.42
MENRES000007_1,2023-08-13T01:32:31,57.78,52.54,5.24
MENRES000007_2,2023-02-10T12:33:32,59.53,52.31,7.22
MENRES000007_3,2023-03-14T13:38:46,23.62,19.18,4.44
MENRES000007_4,2023-03-23T14:04:23,46.63,40.65,5.98
MENRES000007_13,2023-05-03T03:35:59,21.1,17.77,3.33
MENRES000008_2,2023-05-04T03:52:20,13.33,10.68,2.65
MENRES000008_6,2023-12-23T17:43:13,18.79,15.41,3.38
MENRES000008_8,2023-03-21T19:50:25,8.91,7.13,1.78
MENRES000008_15,2023-12-21T15:28:03,33.77,27.79,5.98
MENRES000008_19,2023-10-14T18:21:13,29.5,23.63,5.87
MENRES000009_0,2023-01-20T16:49:44,37.36,33.63,3.73
MENRES000009_1,2023-01-10T09:07:12,63.9,52.1,11.8
MENRES000010_2,2023-10-10T16:13:40,23.42,18.78,4.64
MENRES000010_3,2023-12-30T23:43:51,13.28,11.91,1.37
MENRES000010_7,2023-05-21T12:37:09,39.06,34.08,4.98
MENRES000010_8,2023-09-21T12:38:29,6.19,5.65,0.54
MENRES000011_5,2023-09-05T18:09:41,10.13,9.34,0.79
MENRES000011_7,2023-11-07T01:38:52,10.33,9.05,1.28
MENRES000011_10,2023-02-25T02:09:13,7.14,6.69,0.45
MENRES000011_15,2023-12-28T15:19:13,30.81,26.92,3.89
MENRES000012_0,2023-10-23T21:15:38,20.39,18.4,1.99
MENRES000012_2,2023-10-15T02:01:12,44.68,39.91,4.77
MENRES000012_3,2023-08-21T03:46:17,94.46,86.97,7.49
MENRES000012_4,2023-09-28T21:58:58,61.63,51.19,10.44
MENRES000012_6,2023-03-26T18:00:24,117.15,110.12,7.03
MENRES000012_10,2023-08-30T10:30:49,62.26,54.77,7.49
MENRES000013_2,2023-01-24T12:31:20,123.68,103.44,20.24
MENRES000013_5,2023-06-11T17:11:31,97.86,84.12,13.74
MENRES000013_6,2023-07-07T05:58:23,50.64,45.15,5.49
MENRES000013_10,2023-12-06T20:15:15,97.81,80.52,17.29
MENRES000013_12,2023-09-19T05:54:27,26.05,21.77,4.28
MENRES000014_0,2023-01-13T12:14:53,40.44,34.86,5.58
MENRES000015_0,2023-10-18T22:17:27,18.34,16.12,2.22
MENRES000015_2,2023-08-05T05:26:37,19.26,15.6,3.66
MENRES000015_3,2023-06-26T21:32:49,39.4,32.67,6.73
MENRES000015_5,2023-05-06T13:49:44,54.02,48.57,5.45
MENRES000015_8,2023-05-21T16:39:09,70.2,58.39,11.81
MENRES000015_16,2023-02-24T01:02:36,15.41,12.83,2.58
MENRES000016_2,2023-09-29T10:38:13,63.26,50.87,12.39
MENRES000016_5,2023-11-27T17:32:39,32.15,30.17,1.98
MENRES000017_1,2023-07-07T08:34:14,78.12,74.18,3.94
MENRES000017_2,2023-11-22T07:09:27,52.24,46.58,5.66
MENRES000018_4,2023-11-12T07:05:53,19.0,17.83,1.17
MENRES000018_9,2023-01-10T23:21:46,44.33,37.57,6.76
MENRES000018_12,2023-11-06T17:27:54,40.35,37.04,3.31
MENRES000018_13,2023-07-14T19:09:36,61.69,56.36,5.33
MENRES000018_14,2023-01-21T23:26:48,64.17,58.19,5.98
MENRES000018_16,2023-09-22T23:03:54,65.49,55.64,9.85
MENRES000019_4,2023-06-06T19:02:30,30.43,27.28,3.15
MENRES000019_5,2023-12-18T07:40:54,16.31,13.57,2.74
MENRES000019_7,2023-09-10T23:20:51,16.53,13.69,2.84
MENRES000019_12,2023-02-03T10:18:57,26.5,23.1,3.4
MENRES000019_14,2023-04-29T11:37:23,21.77,19.39,2.38
MENRES000020_2,2023-04-02T17:34:27,21.15,18.8,2.35
MENRES000020_3,2023-02-14T17:06:29,35.53,31.66,3.87
MENRES000020_5,2023-04-05T09:30:23,8.9,7.46,1.44
MENRES000021_2,2023-03-01T00:17:04,45.9,38.19,7.71
MENRES000021_4,2023-06-08T05:37:23,108.11,97.16,10.95
MENRES000021_5,2023-08-29T08:13:58,149.71,126.64,23.07
MENRES000021_9,2023-03-15T11:29:36,109.8,102.69,7.11
MENRES000021_11,2023-01-02T23:28:30,121.31,105.61,15.7
MENRES000022_0,2023-06-09T00:46:39,134.83,109.44,25.39
MENRES000022_1,2023-03-10T10:10:13,82.21,77.79,4.42
MENRES000022_2,2023-01-20T17:38:07,63.12,55.14,7.98
MENRES000022_4,2023-08-10T21:53:20,65.53,61.53,4.0
MENRES000022_10,2023-01-19T19:40:16,82.9,72.46,10.44
MENRES000022_13,2023-04-10T05:51:12,78.85,71.95,6.9
MENRES000022_15,2023-05-15T08:25:33,26.47,24.35,2.12
MENRES000023_2,2023-01-23T18:53:44,7.02,5.73,1.29
MENRES000023_6,2023-07-22T06:47:53,24.98,21.39,3.59
MENRES000023_8,2023-01-19T04:12:22,36.62,34.1,2.52
MENRES000023_9,2023-05-11T11:26:00,13.34,11.88,1.46
MENRES000023_11,2023-11-23T14:18:40,9.05,8.36,0.69
MENRES000023_13,2023-04-23T13:04:51,17.21,14.47,2.74
MENRES000024_0,2023-04-19T14:09:14,45.33,42.95,2.38
MENRES000024_4,2023-10-24T00:13:32,22.11,18.95,3.16
MENRES000024_12,2023-02-27T20:27:02,15.75,13.28,2.47
MENRES000025_1,2023-01-29T00:57:36,40.65,34.52,6.13
MENRES000025_3,2023-10-22T04:02:02,14.9,13.66,1.24
MENRES000026_3,2023-09-21T19:06:53,56.47,50.88,5.59
MENRES000027_3,2023-09-26T08:07:07,41.11,36.27,4.84
MENRES000028_0,2023-12-11T17:57:09,32.11,29.71,2.4
MENRES000028_2,2023-12-19T20:14:42,55.27,47.66,7.61
MENRES000028_3,2023-08-10T00:25:22,51.63,48.91,2.72
MENRES000028_5,2023-03-22T00:54:37,47.63,38.16,9.47
MENRES000028_7,2023-11-08T18:11:53,21.87,20.25,1.62
MENRES000030_1,2023-12-17T09:08:33,20.41,18.72,1.69
MENRES000030_2,2023-11-09T15:01:36,29.43,25.27,4.16
MENRES000030_5,2023-09-27T20:51:13,29.0,26.52,2.48
MENRES000030_11,2023-05-10T02:01:15,22.62,18.29,4.33
MENRES000030_16,2023-02-02T16:06:48,20.11,17.36,2.75
MENRES000031_0,2023-03-13T12:16:45,27.16,25.42,1.74
MENRES000031_2,2023-07-22T16:23:03,66.7,55.49,11.21
MENRES000032_2,2023-10-20T20:04:59,88.01,72.57,15.44
MENRES000032_4,2023-12-13T10:20:17,71.77,61.29,10.48
MENRES000032_9,2023-09-14T02:50:52,22.32,18.67,3.65
MENRES000033_0,2023-04-29T07:01:34,58.9,50.88,8.02
MENRES000033_1,2023-01-16T08:32:00,65.56,53.22,12.34
MENRES000033_4,2023-07-15T21:49:23,52.36,47.35,5.01
MENRES000033_5,2023-06-06T22:16:12,19.02,16.59,2.43
MENRES000033_6,2023-05-05T07:09:07,70.51,61.35,9.16
MENRES000033_11,2023-08-11T05:44:20,28.49,25.7,2.79
MENRES000034_0,2023-01-05T10:15:53,63.88,60.5,3.38
MENRES000034_3,2023-10-05T20:17:14,89.85,77.14,12.71
MENRES000034_4,2023-06-28T02:21:45,34.07,31.64,2.43
MENRES000034_9,2023-01-27T15:54:17,93.15,83.09,10.06
MENRES000035_1,2023-12-11T06:22:29,59.91,49.06,10.85
MENRES000035_4,2023-04-01T16:21:00,94.5,85.01,9.49
