Restaurant_ID,Outdoor_seating,WiFi,Parking,Wheelchair_accessible,Pet_friendly,Kid_friendly,Vegetarian,Vegan,Halal,Alcohol,Drive_through,24_hours,Live_music
RES000000,True,True,False,False,True,False,True,True,False,True,True,True,False
RES000001,True,False,True,False,True,False,False,False,True,False,True,True,True
RES000002,False,True,True,False,False,False,False,True,True,True,True,True,False
RES000003,True,False,True,True,False,True,True,False,False,False,False,False,False
RES000004,True,True,True,True,True,True,True,True,False,False,False,False,True
RES000005,False,True,False,True,True,True,False,True,False,False,True,False,False
RES000006,True,True,False,False,False,False,True,True,False,False,False,False,False
RES000007,True,True,True,False,True,False,False,False,True,False,False,False,False
RES000008,True,False,False,False,False,True,False,True,False,False,True,True,True
RES000009,False,False,False,True,False,False,True,True,True,False,False,False,True
RES000010,False,True,True,True,True,False,True,True,False,False,True,True,True
RES000011,True,False,True,True,False,True,False,True,False,True,False,False,False
RES000012,True,False,False,False,False,False,False,True,True,False,True,False,False
RES000013,False,False,True,True,False,True,True,False,False,False,True,True,False
RES000014,True,True,False,True,True,False,True,False,False,True,False,False,True
RES000015,False,False,False,True,False,True,True,False,True,False,False,False,True
RES000016,True,False,True,False,True,False,False,False,False,True,False,False,False
RES000017,True,False,False,True,True,False,True,False,False,True,True,True,False
RES000018,True,False,True,True,False,True,False,False,False,False,False,True,True
RES000019,True,False,False,False,True,True,False,False,True,False,True,True,False
RES000020,False,False,True,True,False,False,True,True,True,False,False,True,False
RES000021,False,False,False,True,True,False,False,False,False,False,False,False,True
RES000022,False,False,True,True,False,False,False,False,True,False,True,True,True
RES000023,False,False,True,False,False,False,False,False,True,True,False,True,True
RES000024,True,True,False,True,True,False,True,True,True,True,False,True,False
RES000025,True,True,False,True,False,True,True,False,True,False,False,False,True
RES000026,False,False,True,True,False,False,False,True,False,False,True,True,True
RES000027,False,True,False,True,False,True,False,False,True,True,True,False,True
RES000028,False,True,True,True,False,True,True,True,True,True,False,False,True
RES000029,False,True,False,False,True,True,True,False,True,False,True,False,True
RES000030,True,True,False,False,False,False,False,False,False,False,False,False,False
RES000031,False,True,False,True,False,True,False,True,False,False,True,False,False
RES000032,True,False,False,True,True,True,False,False,True,True,False,True,True
RES000033,True,False,False,True,False,True,True,False,False,True,False,True,False
RES000034,False,True,True,True,False,False,False,False,False,False,False,False,False
RES000035,True,False,True,False,False,False,False,False,True,False,True,False,True
RES000036,True,True,True,False,False,False,False,False,False,False,True,False,True
RES000037,True,False,False,False,True,False,False,True,False,True,False,False,False
RES000038,True,False,False,False,True,True,True,False,True,True,False,False,False
RES000039,False,True,True,True,True,False,True,False,False,False,False,False,True
RES000040,False,True,True,False,True,True,False,False,True,False,True,False,True
RES000041,False,False,False,False,False,False,False,True,False,False,True,True,False
RES000042,True,False,False,True,False,True,True,False,False,True,True,True,False
RES000043,True,False,False,False,False,True,True,False,False,False,True,True,False
RES000044,True,False,False,True,True,False,False,True,True,True,False,True,True
RES000045,True,False,True,True,False,False,False,True,False,True,True,False,False
RES000046,True,True,True,True,True,False,False,False,False,False,True,True,True
RES000047,False,True,True,False,False,False,False,True,True,True,False,False,False
RES000048,True,False,True,True,True,False,False,True,False,True,False,True,False
RES000049,False,True,True,True,False,True,True,True,True,False,False,True,False
RES000050,False,True,True,False,True,True,True,False,False,False,False,True,False
RES000051,False,False,True,True,True,True,False,True,True,False,False,False,False
RES000052,True,False,True,True,False,False,False,True,False,True,True,False,False
RES000053,True,False,False,False,False,False,False,False,False,True,False,True,True
RES000054,False,False,True,True,False,True,False,True,True,True,True,True,True
RES000055,True,True,False,False,True,False,False,True,False,True,True,False,True
RES000056,True,False,False,True,True,False,False,True,False,False,True,False,False
RES000057,True,True,False,True,False,True,True,True,False,True,False,False,False
RES000058,False,False,True,True,True,True,True,True,False,True,False,True,True
RES000059,True,False,True,False,False,True,False,True,True,True,True,False,False
RES000060,True,False,False,False,True,False,False,True,True,False,False,False,True
RES000061,False,False,True,True,True,False,True,True,True,True,False,True,False
RES000062,False,True,False,True,True,True,False,True,False,False,True,False,False
RES000063,True,False,False,False,True,False,False,True,False,True,True,False,False
RES000064,True,True,True,True,False,True,True,True,True,True,True,True,False
RES000065,False,False,True,False,False,True,True,True,False,False,True,False,False
RES000066,True,True,True,False,True,True,True,False,False,True,True,False,True
RES000067,True,True,True,True,True,False,True,False,False,True,True,False,True
RES000068,False,True,True,False,True,False,False,True,False,False,True,False,False
RES000069,True,True,True,True,False,False,True,False,False,False,False,False,True
RES000070,False,False,False,False,True,True,False,True,True,False,True,False,False
RES000071,True,True,False,True,False,False,True,False,False,True,True,False,False
RES000072,True,False,True,True,True,True,True,True,True,False,True,False,False
RES000073,False,True,False,True,False,True,False,False,False,True,True,False,False
RES000074,False,False,False,False,False,True,True,False,False,False,True,False,False
RES000075,True,True,False,True,True,False,False,True,False,True,True,True,False
RES000076,False,True,False,True,False,True,True,False,True,True,True,True,True
RES000077,True,False,False,True,False,False,True,True,False,True,True,True,False
RES000078,False,False,True,True,False,False,True,False,False,False,True,False,False
RES000079,True,False,True,True,False,False,True,True,True,False,False,True,False
RES000080,False,False,True,False,False,True,True,True,True,True,False,False,True
RES000081,False,True,False,True,False,True,True,False,True,False,True,True,True
RES000082,False,True,False,False,False,True,False,False,False,True,False,True,False
RES000083,False,False,False,True,False,True,False,True,False,True,True,True,False
RES000084,False,True,False,True,False,True,False,True,False,False,True,False,True
RES000085,False,True,True,False,True,False,False,False,False,False,True,False,True
RES000086,True,False,True,False,True,True,False,True,True,False,True,False,False
RES000087,False,True,False,False,True,True,False,False,False,True,True,True,True
RES000088,False,False,False,False,False,False,False,False,False,False,True,True,True
RES000089,False,True,True,False,False,True,True,True,False,False,False,True,False
RES000090,False,False,False,False,True,False,True,True,False,False,True,True,True
RES000091,False,True,True,False,True,False,True,False,False,True,False,False,False
RES000092,False,False,True,False,True,False,False,False,True,True,False,False,False
RES000093,True,False,False,True,False,False,False,False,True,False,False,False,False
RES000094,False,False,True,True,False,True,True,True,False,True,False,True,False
RES000095,False,True,True,False,False,True,True,False,True,False,False,True,False
RES000096,True,True,True,True,False,False,True,False,True,False,True,True,False
RES000097,False,False,False,True,True,False,True,False,True,True,False,False,False
RES000098,True,True,False,True,False,True,False,False,False,False,True,False,True
RES000099,False,False,False,False,False,True,True,True,True,True,False,True,False
RES000100,False,True,False,False,True,True,True,False,True,False,False,False,True
RES000101,True,False,False,True,True,False,True,False,True,True,False,False,False
RES000102,False,False,True,True,False,False,True,False,True,False,False,True,False
RES000103,False,False,False,False,True,True,True,False,True,True,False,True,False
RES000104,False,False,True,False,False,False,False,False,True,True,True,True,False
RES000105,True,False,False,True,True,False,False,True,True,True,False,True,False
RES000106,False,False,True,True,False,False,False,False,True,False,False,True,True
RES000107,True,False,False,True,False,False,False,False,False,True,False,False,True
RES000108,True,False,False,True,False,True,False,True,True,False,False,False,False
RES000109,False,False,False,False,True,False,True,False,True,True,True,True,True
RES000110,True,True,False,True,False,False,False,False,True,False,False,False,True
RES000111,True,False,False,False,True,False,True,True,False,True,False,False,False
RES000112,True,True,True,True,False,False,True,True,False,False,True,True,True
RES000113,True,False,False,True,True,False,False,True,False,False,False,False,True
RES000114,True,True,False,False,True,False,True,True,False,True,True,True,False
RES000115,True,True,False,False,True,True,False,True,False,False,True,True,True
RES000116,True,True,True,True,True,False,False,True,True,False,False,True,False
RES000117,True,True,False,True,True,False,True,False,True,False,True,False,False
RES000118,False,False,False,False,True,True,True,True,False,True,False,True,True
RES000119,True,True,True,True,False,True,True,False,True,True,True,False,True
RES000120,False,True,False,False,False,False,False,True,False,False,True,False,True
RES000121,False,True,True,False,True,True,True,False,False,False,False,False,False
RES000122,False,False,False,True,True,False,False,False,False,True,True,False,True
RES000123,True,False,False,True,False,True,False,True,False,False,False,False,False
RES000124,True,False,True,False,False,True,False,False,False,True,False,False,True
RES000125,False,True,False,True,True,True,False,False,False,True,True,False,False
RES000126,True,True,True,False,False,False,False,False,True,False,False,True,False
RES000127,False,True,True,True,False,True,False,True,False,False,True,True,True
RES000128,False,True,True,True,True,False,False,False,False,True,False,False,False
RES000129,True,False,True,True,True,True,True,True,True,False,False,False,True
RES000130,True,False,False,False,True,False,True,False,True,True,False,True,False
RES000131,False,False,True,False,True,True,True,True,False,False,True,True,False
RES000132,False,True,False,True,True,False,False,True,True,False,True,True,True
RES000133,False,False,True,False,False,False,False,True,True,False,True,True,False
RES000134,True,True,False,True,True,True,True,False,False,True,True,False,False
RES000135,False,False,False,False,False,False,True,True,True,False,False,False,True
RES000136,True,False,False,False,False,False,False,False,True,False,True,True,True
RES000137,False,False,False,True,True,False,True,False,True,True,False,True,True
RES000138,True,True,False,True,False,True,False,False,True,False,True,False,True
RES000139,True,False,True,False,True,True,True,True,True,True,True,False,True
RES000140,True,False,False,False,True,False,False,False,False,False,False,False,True
RES000141,False,False,True,False,True,True,True,False,False,False,True,False,False
RES000142,True,True,False,True,True,True,True,False,False,False,True,True,True
RES000143,False,True,True,False,True,False,True,True,True,False,True,False,False
RES000144,True,True,False,True,False,True,False,False,True,False,False,False,False
RES000145,False,True,False,True,True,True,True,True,True,True,True,True,False
RES000146,False,True,False,False,False,False,False,False,False,False,False,True,False
RES000147,True,True,False,True,False,False,True,False,False,True,False,False,False
RES000148,True,False,False,False,True,True,False,False,True,True,True,True,False
RES000149,False,True,True,False,True,False,True,True,False,True,True,False,False
