Restaurant_ID,Average_menu_price,Most_common_cuisine,Average_delivery_time,Popularity_score,Estimated_value_score
RES000000,19.36,Thai,23,95.0,7.2
RES000001,70.93,Italian,24,82.4,6.6
RES000002,51.78,Italian,,76.4,1.5
RES000003,93.31,Chinese,,35.8,7.0
RES000004,20.09,Chinese,65,97.3,1.0
RES000005,39.33,French,16,32.2,9.5
RES000006,78.91,Brazilian,46,73.8,1.6
RES000007,44.05,American,33,72.7,5.5
RES000008,23.06,Mediterranean,70,36.0,9.1
RES000009,36.5,American,38,91.2,4.0
RES000010,19.12,Mexican,,35.5,8.1
RES000011,25.24,Japanese,43,11.2,1.0
RES000012,75.67,Mexican,,23.0,9.1
RES000013,85.92,Italian,67,15.5,5.8
RES000014,43.51,Italian,,9.7,2.0
RES000015,51.89,Chinese,,34.6,3.4
RES000016,67.58,Pizza,82,55.4,7.9
RES000017,94.59,Japanese,69,92.9,4.0
RES000018,47.54,Pizza,74,32.2,5.1
RES000019,23.52,Mediterranean,14,26.1,4.3
RES000020,24.24,Burger,91,30.8,4.6
RES000021,91.17,Chinese,25,23.0,4.3
RES000022,90.82,Burger,,76.5,2.4
RES000023,21.12,Mediterranean,,2.1,9.4
RES000024,36.17,Chinese,,85.5,6.2
RES000025,32.54,Mexican,23,75.5,1.6
RES000026,58.32,Burger,73,41.8,2.9
RES000027,49.39,Mexican,100,78.5,6.1
RES000028,62.89,American,25,99.3,2.2
RES000029,71.2,Italian,86,68.9,0.7
RES000030,39.59,Brazilian,24,25.9,1.2
RES000031,39.88,Burger,,66.5,7.1
RES000032,73.38,Japanese,62,60.0,4.1
RES000033,43.36,Brazilian,80,87.3,4.5
RES000034,85.77,French,22,86.9,8.2
RES000035,92.65,Japanese,,61.5,7.5
RES000036,66.71,French,70,1.5,2.1
RES000037,109.36,Italian,68,69.3,1.9
RES000038,52.61,Thai,,91.9,2.2
RES000039,21.59,French,,36.8,5.3
RES000040,20.62,Thai,,17.4,4.8
RES000041,25.5,French,24,86.8,6.1
RES000042,33.64,American,83,2.9,8.0
RES000043,72.44,Thai,46,56.2,8.7
RES000044,74.46,Brazilian,43,54.3,8.4
RES000045,105.12,American,24,18.7,9.3
RES000046,62.31,Japanese,76,40.0,0.8
RES000047,86.06,Burger,62,83.9,6.7
RES000048,23.67,Pizza,42,10.0,0.5
RES000049,41.65,Mexican,84,78.5,8.9
RES000050,77.0,Japanese,92,6.9,8.2
RES000051,41.86,Italian,,23.4,3.6
RES000052,63.3,French,45,30.6,1.6
RES000053,90.01,Mediterranean,86,36.9,3.2
RES000054,81.3,French,80,19.4,4.1
RES000055,46.15,Burger,73,25.2,2.4
RES000056,64.7,Mediterranean,72,26.4,9.8
RES000057,73.58,Indian,,64.4,5.1
RES000058,23.33,Indian,78,21.8,4.1
RES000059,40.96,Italian,27,54.9,7.3
RES000060,40.08,Mediterranean,26,49.0,0.8
RES000061,27.56,American,66,79.9,5.1
RES000062,70.04,Italian,95,9.4,3.0
RES000063,84.51,Indian,,70.4,4.2
RES000064,85.1,Japanese,24,38.0,7.0
RES000065,113.39,Italian,83,43.0,0.4
RES000066,57.58,Mexican,,48.6,4.8
RES000067,70.89,Thai,26,48.5,8.5
RES000068,24.27,French,71,81.3,5.5
RES000069,84.92,Italian,67,55.6,0.8
RES000070,80.67,Thai,,56.6,7.2
RES000071,24.89,Chinese,41,98.3,9.2
RES000072,22.1,Brazilian,,70.6,1.3
RES000073,71.88,Mediterranean,69,3.4,2.7
RES000074,23.21,Japanese,44,56.5,4.7
RES000075,58.91,Chinese,,5.7,2.2
RES000076,74.75,Brazilian,37,3.4,5.6
RES000077,41.95,Burger,,98.3,2.1
RES000078,62.78,Mexican,31,19.0,9.3
RES000079,55.27,Japanese,,36.5,1.3
RES000080,101.8,Burger,20,99.7,9.5
RES000081,98.2,Indian,51,16.8,2.5
RES000082,27.81,Indian,57,6.8,2.8
