Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational
RES000002,Italian Chain 2,Chain,Italian,-15.358159,-29.960047,Manchester,United Kingdom,1952,False,False,True,True,3,3.1,1790,Operational
RES000003,London Chinese Place 3,Local,Chinese,74.936488,-120.822638,London,United Kingdom,1961,False,True,True,False,4,3.5,2646,Operational
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational
RES000010,New York Mexican Place 10,Local,Mexican,47.651833,-159.986456,New York,USA,1955,False,True,False,False,1,4.4,3515,Operational
RES000011,Osaka Japanese Place 11,Local,Japanese,-50.432663,54.882225,Osaka,Japan,2001,True,False,True,True,1,4.6,2510,Operational
RES000012,Mexican Chain 12,Chain,Mexican,-7.983916,166.02172,Delhi,India,1967,False,True,False,True,3,4.1,3699,Operational
RES000013,Italian Chain 13,Chain,Italian,-42.562566,100.414024,Los Angeles,USA,1993,True,False,False,True,4,4.6,2458,Operational
RES000014,Sao Paulo Italian Place 14,Local,Italian,72.756401,100.15703,Sao Paulo,Brazil,2005,False,False,True,True,2,2.5,2577,Operational
RES000015,Los Angeles Chinese Place 15,Local,Chinese,-6.768773,-60.106615,Los Angeles,USA,1950,False,True,False,False,2,4.5,3508,Operational
RES000016,Pizza Chain 16,Chain,Pizza,55.716595,103.576415,Rio de Janeiro,Brazil,2020,True,False,False,False,3,2.2,1789,Operational
RES000017,London Japanese Place 17,Local,Japanese,-7.261116,50.226226,London,United Kingdom,2013,True,False,False,True,4,4.8,891,Operational
RES000018,Manchester Pizza Place 18,Local,Pizza,-39.169714,68.985411,Manchester,United Kingdom,2007,True,True,False,True,2,5.0,3782,Operational
RES000019,Rio de Janeiro Mediterranean Place 19,Local,Mediterranean,73.173845,-2.805527,Rio de Janeiro,Brazil,1951,True,True,True,False,1,2.7,2151,Operational
RES000020,Burger Chain 20,Chain,Burger,89.228332,11.734299,Rio de Janeiro,Brazil,2023,True,False,False,True,1,3.4,511,Operational
RES000021,Chinese Chain 21,Chain,Chinese,-12.671637,-123.163857,London,United Kingdom,1950,True,False,False,True,4,4.5,1812,Operational
RES000022,Tokyo Burger Place 22,Local,Burger,-59.249298,46.950364,Tokyo,Japan,1962,False,False,True,False,4,3.5,1168,Operational
RES000023,Delhi Mediterranean Place 23,Local,Mediterranean,70.184968,-163.987881,Delhi,India,2012,False,True,True,True,1,3.6,3326,Operational
RES000024,Mumbai Chinese Place 24,Local,Chinese,67.448729,-20.20856,Mumbai,India,2007,False,False,True,True,2,2.4,4477,Operational
RES000025,Mexican Chain 25,Chain,Mexican,38.540015,-36.149351,Osaka,Japan,1980,True,True,True,False,2,3.4,1257,Operational
RES000026,Burger Chain 26,Chain,Burger,-41.769467,-77.311211,Los Angeles,USA,2000,True,False,False,False,4,4.9,4459,Operational
RES000027,Los Angeles Mexican Place 27,Local,Mexican,26.572574,-121.222318,Los Angeles,USA,2005,True,True,True,True,2,4.9,873,Operational
RES000028,American Chain 28,Chain,American,72.655715,-72.936624,Manchester,United Kingdom,2004,True,False,False,False,3,4.2,1794,Operational
RES000029,Osaka Italian Place 29,Local,Italian,-41.037565,-153.804078,Osaka,Japan,2000,True,True,True,True,3,2.1,2694,Operational
RES000030,Delhi Brazilian Place 30,Local,Brazilian,2.789143,9.075067,Delhi,India,1960,True,True,False,False,2,3.0,3241,Operational
RES000031,Delhi Burger Place 31,Local,Burger,-87.86337,-100.461958,Delhi,India,1991,False,False,True,False,2,4.6,3706,Operational
RES000032,Japanese Chain 32,Chain,Japanese,68.017251,-135.740968,Tokyo,Japan,2015,True,False,True,False,3,4.6,3404,Operational
RES000033,Sao Paulo Brazilian Place 33,Local,Brazilian,-63.710917,-162.204457,Sao Paulo,Brazil,2002,True,False,False,False,2,2.6,4639,Operational
RES000034,Sao Paulo French Place 34,Local,French,57.908244,-50.71909,Sao Paulo,Brazil,1992,True,True,True,True,4,2.4,4427,Operational
RES000035,London Japanese Place 35,Local,Japanese,-78.587184,76.641422,London,United Kingdom,2017,False,True,False,False,4,3.7,4382,Operational
RES000036,Rio de Janeiro French Place 36,Local,French,-13.975236,162.348224,Rio de Janeiro,Brazil,1988,True,True,False,False,4,2.3,4829,Operational
RES000037,Italian Chain 37,Chain,Italian,64.175027,-174.784093,Rio de Janeiro,Brazil,1974,True,False,False,False,4,2.2,3983,Operational
RES000038,London Thai Place 38,Local,Thai,29.468294,-37.989395,London,United Kingdom,1961,False,True,False,False,2,2.1,861,Operational
RES000039,French Chain 39,Chain,French,-30.786774,-175.885342,Sao Paulo,Brazil,1991,False,True,False,True,1,2.5,1728,Operational
RES000040,Mumbai Thai Place 40,Local,Thai,-47.105137,63.125573,Mumbai,India,1997,False,True,False,True,1,3.9,3480,Operational
RES000041,Manchester French Place 41,Local,French,20.086165,-162.576135,Manchester,United Kingdom,1982,True,True,False,True,1,3.5,3919,Operational
RES000042,Delhi American Place 42,Local,American,-21.90693,-173.535476,Delhi,India,1965,True,False,True,True,2,3.5,3891,Operational
RES000043,Mumbai Thai Place 43,Local,Thai,54.619859,-158.187111,Mumbai,India,1960,True,False,False,False,4,5.0,428,Operational
RES000044,Brazilian Chain 44,Chain,Brazilian,-51.050984,149.155581,New York,USA,2002,True,True,False,False,4,4.3,108,Operational
RES000045,Manchester American Place 45,Local,American,-69.582118,-127.036167,Manchester,United Kingdom,2004,True,False,True,True,4,3.8,3714,Closed Temporarily
RES000046,New York Japanese Place 46,Local,Japanese,40.191584,160.246385,New York,USA,2000,True,True,True,False,2,3.9,4639,Operational
RES000047,New York Burger Place 47,Local,Burger,-58.579879,77.856411,New York,USA,1985,True,False,False,True,4,3.9,214,Operational
RES000048,Mumbai Pizza Place 48,Local,Pizza,70.507769,-116.169831,Mumbai,India,2018,True,True,False,True,1,3.4,221,Operational
RES000049,Manchester Mexican Place 49,Local,Mexican,4.778616,152.150588,Manchester,United Kingdom,2000,True,False,False,True,2,4.5,3652,Operational
RES000050,Tokyo Japanese Place 50,Local,Japanese,11.744267,-174.119012,Tokyo,Japan,2011,True,True,False,True,4,4.8,3395,Operational
RES000051,Tokyo Italian Place 51,Local,Italian,66.863704,144.487787,Tokyo,Japan,1959,False,False,True,True,2,3.1,3544,Operational
RES000052,Los Angeles French Place 52,Local,French,20.228047,46.384744,Los Angeles,USA,2013,True,False,False,False,3,3.0,1936,Operational
RES000053,Mediterranean Chain 53,Chain,Mediterranean,-5.010094,177.255666,Osaka,Japan,1969,True,False,False,False,4,4.4,1215,Operational
RES000054,Osaka French Place 54,Local,French,-60.430337,148.072093,Osaka,Japan,1971,True,True,True,True,3,4.0,1098,Operational
RES000055,Delhi Burger Place 55,Local,Burger,47.076771,-141.086005,Delhi,India,1982,True,True,True,False,2,2.7,1841,Operational
RES000056,Los Angeles Mediterranean Place 56,Local,Mediterranean,-64.662384,20.675515,Los Angeles,USA,1984,True,False,False,False,3,2.9,1970,Operational
RES000057,Tokyo Indian Place 57,Local,Indian,-26.185224,138.479371,Tokyo,Japan,1965,False,True,True,True,3,4.2,1200,Operational
RES000058,Indian Chain 58,Chain,Indian,-73.392921,5.111433,Osaka,Japan,1997,True,False,False,True,1,3.7,124,Operational
RES000059,Rio de Janeiro Italian Place 59,Local,Italian,60.57465,61.101391,Rio de Janeiro,Brazil,1950,True,False,False,True,2,4.6,4548,Operational
RES000060,Osaka Mediterranean Place 60,Local,Mediterranean,-16.261997,-153.408534,Osaka,Japan,1968,True,False,False,True,2,4.7,4276,Operational
RES000061,Manchester American Place 61,Local,American,89.144291,-119.615056,Manchester,United Kingdom,2002,True,False,False,False,1,4.9,2263,Operational
RES000062,Mumbai Italian Place 62,Local,Italian,-81.616657,63.59683,Mumbai,India,1951,True,True,False,False,3,3.8,2150,Operational
RES000063,Rio de Janeiro Indian Place 63,Local,Indian,14.82394,-64.416572,Rio de Janeiro,Brazil,1952,False,False,True,False,4,3.2,1949,Operational
RES000064,Rio de Janeiro Japanese Place 64,Local,Japanese,86.662811,3.884244,Rio de Janeiro,Brazil,1978,True,True,False,True,4,3.7,4966,Operational
RES000065,Los Angeles Italian Place 65,Local,Italian,25.536966,-179.063826,Los Angeles,USA,2023,True,False,False,True,4,5.0,232,Operational
RES000066,London Mexican Place 66,Local,Mexican,-27.111643,-177.049064,London,United Kingdom,1965,False,True,False,False,3,3.6,2270,Operational
RES000067,Tokyo Thai Place 67,Local,Thai,18.558286,141.242308,Tokyo,Japan,1986,True,False,False,True,4,2.9,3187,Operational
RES000068,Osaka French Place 68,Local,French,15.277758,-29.802721,Osaka,Japan,1992,True,True,True,False,1,3.9,4152,Operational
RES000069,Italian Chain 69,Chain,Italian,22.325188,164.038198,New York,USA,1988,True,False,False,True,4,3.0,3682,Closed Temporarily
